time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 12:01:12,36.19,-12.54,14,75.2,-18.8,1
2025/4/14 12:01:15,35.99,-12.27,12,75.17,-18.56,3
2025/4/14 12:01:18,35.97,-12.43,13,75.4,-18.77,4
2025/4/14 12:01:21,36.01,-12.39,13,75.19,-18.41,4
2025/4/14 12:01:24,36.03,-12.37,13,75.09,-18.37,6
2025/4/14 12:01:27,36.11,-12.36,13,75.13,-18.45,6
2025/4/14 12:01:30,35.99,-12.32,12,75.19,-18.23,4
2025/4/14 12:01:33,35.96,-12.41,12,75.2,-18.13,4
2025/4/14 12:01:36,36.1,-12.42,11,75.27,-18.32,4
2025/4/14 12:01:39,36.15,-12.48,13,75.17,-18.35,7
2025/4/14 12:01:42,35.99,-12.38,15,75.19,-18.31,4
2025/4/14 12:01:45,36.05,-12.35,11,75.12,-18.09,2
2025/4/14 12:01:48,36.04,-12.36,12,75.17,-17.91,4
2025/4/14 12:01:51,36.11,-12.31,12,75.24,-18.35,2
2025/4/14 12:01:54,36.06,-12.37,14,75.11,-17.79,3
2025/4/14 12:01:57,36.12,-12.39,14,75.16,-17.95,5
2025/4/14 12:02:00,36.05,-12.33,13,75.27,-17.98,2
2025/4/14 12:02:03,36,-12.44,13,75.21,-17.96,3
2025/4/14 12:02:06,36.07,-12.31,14,75.29,-17.98,2
2025/4/14 12:02:09,36.05,-12.31,11,75.11,-17.99,2
2025/4/14 12:02:12,36.17,-12.38,11,75.12,-18.12,3
2025/4/14 12:02:15,36.16,-12.38,13,75.25,-17.98,4
2025/4/14 12:02:18,36.05,-12.4,13,75.19,-17.64,5
2025/4/14 12:02:21,36.09,-12.44,12,75.33,-17.84,2
2025/4/14 12:02:24,36,-12.4,13,75.19,-17.74,4
2025/4/14 12:02:27,36.1,-12.3,12,75.3,-18.3,4
2025/4/14 12:02:30,36.34,-12.49,14,75,-17.68,2
2025/4/14 12:02:33,36.07,-12.32,12,75.43,-17.96,2
2025/4/14 12:02:36,36.14,-12.31,12,75.17,-17.95,6
2025/4/14 12:02:39,36,-12.43,12,75.28,-17.59,4
2025/4/14 12:02:42,36.22,-12.6,13,75.16,-17.63,3
2025/4/14 12:02:45,36,-12.36,14,75.12,-17.62,2
2025/4/14 12:02:48,36.06,-12.41,13,75.23,-17.59,2
2025/4/14 12:02:51,36.09,-12.39,13,75.12,-17.64,5
2025/4/14 12:02:54,36.1,-12.26,14,75.31,-17.89,2
2025/4/14 12:02:57,36.53,-12.41,13,75.39,-18.42,2
2025/4/14 12:03:00,36.03,-12.45,14,75.22,-17.85,2
2025/4/14 12:03:03,35.98,-12.33,13,75.27,-17.68,3
2025/4/14 12:03:06,36.04,-12.38,13,75.32,-18.19,4
2025/4/14 12:03:09,36.05,-12.31,13,75.26,-17.94,3
2025/4/14 12:03:12,35.92,-12.35,12,75.3,-17.9,3
2025/4/14 12:03:15,36.01,-12.25,13,75.22,-17.88,5
2025/4/14 12:03:18,36.08,-12.26,13,75.28,-18.03,2
2025/4/14 12:03:21,36.1,-12.3,14,75.38,-18.34,6
2025/4/14 12:03:24,36.13,-12.23,12,75.31,-17.93,2
2025/4/14 12:03:27,36.11,-12.16,13,75.28,-17.83,4
2025/4/14 12:03:30,35.96,-12.27,12,75.27,-17.69,4
2025/4/14 12:03:33,36.03,-12.4,11,75.24,-18.21,3
2025/4/14 12:03:36,36.09,-12.34,13,75.27,-17.92,2
2025/4/14 12:03:42,36.05,-12.41,12,75.28,-18.26,5
